Order ID,Payment Method,Card Issuer
3813842,cashless,CAIXA GERAL DE DEPOSITOS SA
3823842,cashless,REVOLUT PAYMENTS UAB
3833842,cashless,CAIXABANK S.A.
3843842,cashless,LA BANQUE POSTALE
431342,cashless,
3853842,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3863842,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
3873843,cashless,
3883843,cashless,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA)
3893843,cashless,BANCO COMERCIAL PORTUGUES S.A.
441343,cashless,
3903843,cashless,METROPOLITAN COMMERCIAL BANK
3913843,cashless,REVOLUT LTD
3923843,cashless,BANCO SANTANDER TOTTA S.A.
3933843,cashless,REVOLUT PAYMENTS UAB
3943843,cashless,CAIXA GERAL DE DEPOSITOS SA
3953843,cashless,N26 GMBH
3963844,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
3973844,cashless,REVOLUT PAYMENTS UAB
3983844,cashless,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO C.R.L.
3993844,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4003844,cashless,CAIXA GERAL DE DEPOSITOS SA
4013844,cashless,BANCO SANTANDER TOTTA S.A.
4023844,cashless,CAIXA GERAL DE DEPOSITOS S.A.
451344,cashless,
4033844,cashless,CAIXA GERAL DE DEPOSITOS SA
4043844,cashless,N26 GMBH
4053845,cashless,BANCO COMERCIAL PORTUGUES S.A.
4063845,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4073845,cashless,BANCO COMERCIAL PORTUGUES S.A.
461345,cash,
4083845,cashless,BANCO COMERCIAL PORTUGUES S.A.
4093845,cashless,BANCO COMERCIAL PORTUGUES S.A.
4103845,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4113845,cashless,TRANSFERWISE LTD
4123845,cashless,DEUTSCHE KREDITBANK AG
4133845,cashless,BANCO CTT S.A.
4143846,cashless,BANCO SANTANDER TOTTA S.A.
4153846,cashless,BANCO SANTANDER TOTTA S.A.
4163846,cashless,REVOLUT LTD
4173846,cashless,BANCO COMERCIAL PORTUGUES S.A.
4183846,cashless,BANCO CTT S.A.
4193846,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4203846,cashless,BANCO COMERCIAL PORTUGUES S.A.
4213846,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4223846,cashless,BANKINTER S.A.
471346,cashless,
4233847,cashless,BANCO SANTANDER TOTTA S.A.
